Date,BC,AB,SK,MB,ON,QC,NB,PE,NS,NL,YT,NT,NU,RT,confirmed_new,confirmed_cml,deaths_new,deaths_cml,recovered_new,recovered_cml
2020-01-25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-01-27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2020-01-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2020-01-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
2020-02-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
2020-02-06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1
2020-02-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,2
2020-02-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,2
2020-02-23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,2,4
2020-02-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,4
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,7
2020-02-26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,0,0,0,7
2020-02-27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,14,0,0,0,7
2020-02-28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,16,0,0,0,7
2020-02-29,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,20,0,0,0,7
2020-03-01,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,24,0,0,0,7
2020-03-02,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,27,0,0,0,7
2020-03-03,4,0,0,0,2,0,0,0,0,0,0,0,0,0,6,33,0,0,0,7
2020-03-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,7
2020-03-05,8,1,0,0,3,2,0,0,0,0,0,0,0,0,14,48,0,0,1,8
2020-03-06,0,1,0,0,5,0,0,0,0,0,0,0,0,0,6,54,0,0,0,8
2020-03-07,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,60,0,0,0,8
2020-03-08,0,2,0,0,4,1,0,0,0,0,0,0,0,0,7,67,0,0,0,8
2020-03-09,5,3,0,0,3,1,0,0,0,0,0,0,0,0,12,79,1,1,0,8
2020-03-10,7,7,0,0,2,2,0,0,0,0,0,0,0,0,18,97,0,1,1,9
2020-03-11,7,5,0,0,5,2,1,0,0,0,0,0,0,1,21,118,0,1,0,9
2020-03-12,7,4,1,3,18,8,0,0,0,0,0,0,0,0,41,159,0,1,0,9
2020-03-13,11,6,1,1,19,0,0,0,0,0,0,0,0,1,39,198,0,1,0,9
2020-03-14,9,10,4,0,24,4,1,1,0,1,0,0,0,2,56,254,0,1,0,9
2020-03-15,0,17,0,3,42,15,4,0,3,0,0,0,0,0,84,338,0,1,0,9
2020-03-16,30,18,1,1,32,14,1,0,2,0,0,0,0,4,103,441,3,4,1,10
2020-03-17,83,23,1,7,13,24,1,0,2,2,0,0,0,1,157,598,4,8,0,10
2020-03-18,45,22,8,2,25,20,3,0,5,0,0,0,0,0,130,728,1,9,1,11
2020-03-19,40,27,4,0,43,27,0,1,2,0,0,0,0,1,145,873,3,12,2,13
2020-03-20,77,49,6,0,60,18,0,0,1,1,0,0,0,3,215,1088,0,12,2,15
2020-03-21,76,31,18,2,59,42,6,0,6,2,0,1,0,0,243,1331,7,19,1,16
2020-03-22,0,33,8,1,48,38,0,1,7,3,2,0,0,0,141,1472,1,20,2,18
2020-03-23,48,42,14,0,78,409,0,0,13,15,0,0,0,0,619,2091,4,24,94,112
2020-03-24,145,57,6,1,85,412,1,0,10,11,0,0,0,0,728,2819,3,27,74,186
2020-03-25,42,61,14,14,100,299,8,2,17,32,1,0,0,0,590,3409,8,35,11,197
